,93,5410,Politeknik Pertanian Negeri Kupang,1492,4690,7212
,94,5436,Universitas Islam Negeri UIN Walisongo Semarang,2934,1974,7212
,95,5444,Universitas Islam Bandung,2942,2009,7212
,96,5466,Universitas Muhammadiyah Sidoarjo,2662,2655,7212
,97,5519,Universitas Negeri Gorontalo,3222,2085,7212
,98,5525,Universitas PGRI Madiun,3059,2416,7212
,99,5551,Institut Agama Islam Negeri IAIN Kendari,2339,3798,7212
,100,5556,Universitas Islam Sultan Agung Semarang,3442,2023,7212
,101,5641,Institut Seni Indonesia Denpasar,2416,4124,7212
,102,5658,Universitas Pancasila,6176,2524,6819
,103,5679,Universitas Komputer Indonesia UNIKOM,2406,6553,6557
,104,5699,Universitas Islam Negeri Raden Intan Lampung,746,6553,7212
,105,5717,Universitas Muhammadiyah Lamongan,2214,4867,7212
,106,5751,Universitas Nahdlatul Ulama Surabaya,3450,3246,7212
,107,5766,Institut Agama Islam Negeri IAIN Kediri,3226,3678,7212
,108,5826,Poltekkes Semarang,4202,2664,7212
,109,5835,Universitas Pembangunan Nasional Veteran Yogyakarta,4502,2259,7212
,110,5845,Institut Agama Islam Negeri IAIN Zawiyah Cot Kala Langsa,3316,3962,7212
,111,5876,Universitas Bina Darma,4104,3060,7212
,112,5884,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP PGRI Sumbar,3354,4076,7212
,113,5893,Universitas Muhammadiyah Surabaya,4267,2947,7212
,114,5904,Institut Agama Islam Negeri IAIN Pontianak,3400,4148,7212
,115,5911,Universitas Islam Negeri UIN Sunan Kalijaga Yogyakarta,1026,6553,7212
,116,5915,Universitas Palangka Raya,4690,2509,7212
,117,5921,Universitas Pelita Harapan,5025,2118,7212
,118,5937,Universitas PGRI Semarang,5093,2139,7212
,119,5947,Insitut Teknologi Telkom Surabaya,3060,4761,7212
,120,5950,Universitas Islam Negeri Salatiga UIN Salatiga,1094,6553,7212
,121,5981,Institut Agama Islam Negeri IAIN Tulungagung,4359,3303,7212
,122,6029,Institut Agama Islam Negeri IAIN Ambon,1203,6553,7212
,123,6042,Universitas Sarjanawiyata Tamansiswa,1234,6553,7212
,124,6056,Universitas Muhammadiyah Ponorogo,1254,6553,7212
,125,6089,Universitas Islam Kalimantan UNISKA,4937,3118,7212
,126,6090,Institut Teknologi dan Bisnis STIKOM Bali,4539,3597,7212
,127,6108,Universitas Potensi Utama,4828,3337,7212
,128,6111,Institut Seni Indonesia Yogyakarta Bantul,4709,3491,7212
,129,6152,Institut Agama Islam Negeri IAIN Parepare,1386,6553,7212
,130,6152,Institut Pendikan Indonesia,4252,4236,7212
,131,6152,Politeknik Perkapalan Negeri Surabaya,4882,3517,7212
,132,6152,Universitas Muhammadiyah Jember,5351,2967,7212
,133,6162,Politeknik TEDC Cimahi,2926,5613,7212
,134,6196,Universitas Islam Negeri UIN Maulana Malik Ibrahim Malang,1438,6553,7212
,135,6201,Universitas PGRI Yogyakarta UPY Bantul,5243,3289,7212
,136,6205,Universitas Pamulang,6654,1761,7212
,137,6245,Institut Agama Islam Negeri IAIN Padangsidempuan,5144,3639,7212
,138,6255,Universitas Jenderal Achmad Yani,6076,2668,7212
,139,6260,Universitas Pertamina,5338,3502,7212
,140,6265,Universitas Almuslim,1573,6553,7212
,141,6280,Universitas Hamzanwadi,1592,6553,7212
,142,6298,Universitas Katolik Widya Mandala Surabaya,14015,6553,5193
,143,6327,Universitas Setia Budi Surakarta,4839,4285,7212
,144,6334,Universitas Muhammadiyah Aceh UNMUHA,4839,4307,7212
,145,6338,Poltekkes Kemenkes Malang,5775,3314,7212
,146,6349,Universitas Islam Negeri UIN Sultan Syarif Kasim Riau,1722,6553,7212
,147,6365,Universitas Islam Negeri UIN Raden Fatah,6808,2365,7212
,148,6367,(3) Universitas Mercu Buana Yogyakarta,5826,3402,7212
,149,6370,Politeknik Negeri Tanah Laut,4696,4582,7212
,150,6373,Universitas Bung Hatta,6289,2959,7212
,151,6380,Universitas Sulawesi Barat,1775,6553,7212
,152,6386,Universitas Sangga Buana,1783,6553,7212
,153,6448,Universitas Pertahanan Indonesia UNHAN / Indonesia Defense University,1905,6553,7212
,154,6488,Institut Teknologi Nasional Bandung,6778,2915,7212
,155,6495,Universitas Wijaya Kusuma Surabaya,1977,6553,7212
,156,6501,Universitas Muria Kudus,7189,2528,7212
,157,6566,Universitas Tarumanagara UNTAR,7535,2478,7212
,158,6569,Universitas Islam Negeri UIN Antasari Banjarmasin,6853,3182,7212
,159,6571,Universitas Bhayangkara Jakarta Raya,7324,2710,7212
,160,6579,Politeknik Negeri Jember,7402,2636,7212
,161,6603,Universitas Kebangsaan UNKE Bandung,2171,6553,7212
,162,6630,Universitas 17 Agustus 1945 UTA'45 Jakarta,5885,4342,7212
,163,6640,(3) Fakultas Ilmu Sosial dan Ilmu Politik,5806,4450,7212
,164,6644,Universitas Muhammadiyah Luwuk,5023,5164,7212
,165,6671,Universitas AMIKOM Yogyakarta,7694,2786,7212
,166,6682,Universitas Trunojoyo Madura,2343,6553,7212
,167,6719,Universitas Dipa Makassar,3765,6151,7212
,168,6739,Universitas Merdeka Malang,2423,6553,7212
,169,6741,Institut Pemerintahan Dalam Negeri IPDN,7167,3519,7212
,170,6741,Universitas Papua Manokwari,8009,2737,7212
,171,6747,Universitas Dr Soetomo Surabaya,2433,6553,7212
,172,6815,Sekolah Tinggi Ilmu Kesehatan STIKES Kendal,4949,5602,7212
,173,6835,Universitas Islam Negeri UIN Sulthan Thaha Saifuddin Jambi,2582,6553,7212
,174,6843,Politeknik Manufaktur Negeri Bandung,6000,4826,7212
,175,6857,Universitas Muhammadiyah Buton,6828,4150,7212
,176,6892,Universitas Pesantren Darululum UNIPDU Jombang,7211,3896,7212
,177,6892,Universitas Ciputra,2658,6553,7212
,178,6901,Universitas Abdurrab Pekanbaru,2672,6553,7212
,179,6906,Universitas Batanghari,7522,3634,7212
,180,6925,Universitas Islam Lamongan,2710,6553,7212
,181,6939,Poltekkes Jakarta I,6542,4596,7212
,182,6941,Institut Seni Indonesia Surakarta,2750,6553,7212
,183,6965,Universitas Aisyiyah UNISA Yogyakarta,8014,3324,7212
,184,6966,Sekolah Tinggi Farmasi STF Muhammadiyah,2788,6553,7212
,185,6987,Perbanas Institute,7504,3835,7212
,186,6990,Sekolah Tinggi Manajemen Informatika dan Komputer STMIK Gici,2833,6553,7212
,187,6990,Poltekkes Yogyakarta,8142,3307,7212
,188,7005,Universitas PGRI Adi Buana Surabaya,8772,2805,7212
,189,7008,International Vocational School,2849,6553,7212
,190,7014,Universitas Al Azhar Indonesia,7949,3531,7212
,191,7018,Politeknik Negeri Malang,2870,6553,7212
,192,7024,STIT Almarhalah,2880,6553,7212
,193,7041,Universitas Pasundan Bandung,2897,6553,7212
,194,7051,Universitas Tidar Magelang,2910,6553,7212
,195,7063,Politeknik Negeri Batam,8370,3264,7212
,196,7126,Institut Agama Islam Negeri IAIN Syekh Nurjati Cirebon,3019,6553,7212
,197,7132,Institusi Teknologi Telkom Jakarta,3825,6389,7212
,198,7232,Universitas Mahammadiyah Purwokerto,3208,6553,7212
,199,7271,Sekolah Tinggi Ilmu Ekonomi Indonesia STIESIA Surabaya,9033,3175,7212
,200,7277,Universitas Islam Nahdlatul Ulama Jepara,8814,3388,7212
,201,7298,Universitas Islam Darul Ulum,3314,6553,7212
,202,7311,Universitas Darussalam UNIDAR Ambon,5028,6120,7212
,203,7321,Sekolah Tinggi Informatika dan Komputer Indonesia STIKI,5371,5945,7212
,204,7328,Universitas Pakuan UNPAK Bogor,10012,2504,7212
,205,7354,Universitas Nusa Cendana,3382,6553,7212
,206,7382,Sekolah Tinggi Agama Islam STAI Pati,3427,6553,7212
,207,7392,Universitas Muhammadiyah Jakarta,3442,6553,7212
,208,7401,Institut Agama Islam Ma'arif NU IAIMNU Metro Lampung,7621,4585,7212
,209,7415,Sekolah Tinggi Ilmu Kesehatan STIKES Mutiara Mahakam,3469,6553,7212
,210,7418,Universitas Pendidikan Muhammadiyah UNIMUDA,6980,5103,7212
,211,7465,Universitas Warmadewa,9919,2862,7212
,212,7477,Universitas Muhammadiyah Metro,3548,6553,7212
,213,7536,Universitas Maritim Raja Ali Haji,3626,6553,7212
,214,7541,Institut Sains dan Bisnis Atma Luhur,7406,4937,7212
,215,7610,Politeknik Negeri Jakarta,9866,3147,7212
,216,7674,Institut Seni Budaya Indonesia Bandung,7647,4973,7212
,217,7696,Universitas Bandar Lampung,9674,3473,7212
,218,7709,Universitas Tribhuwana Tunggadewi,3875,6553,7212
,219,7724,Universitas Dinamika,8427,4500,7212
,220,7742,Politeknik Negeri Bali,10729,2750,7212
,221,7750,Universitas HKBP Nommensen,10402,3020,7212
,222,7762,Universitas Islam Negeri UIN Mataram,10746,2771,7212
,223,7794,Universitas Muhammadiyah Palembang,10141,3290,7212
,224,7811,Sekolah Tinggi Ilmu Ekonomi STIE Perbanas Surabaya,9526,3795,7212
,225,7816,Universitas Harapan Bangsa UHB,7782,5089,7212
,226,7816,Universitas Cenderawasih,9356,3951,7212
,227,7847,Sekolah Tinggi Ilmu Ekonomi STIE Atma Bhakti Surakarta,4084,6553,7212
,228,7868,Universitas Labuhanbatu,9910,3638,7212
,229,7888,Universitas Islam Negeri UIN Imam Bonjol,4144,6553,7212
,230,7929,Universitas Advent Indonesia,9465,4021,7212
,231,7935,Institut Teknologi Sumatera Bandar Lampung,4200,6553,7212
,232,7941,Universitas Djuanda UNIDA Bogor,10848,3029,7212
,233,7969,Universitas 17 Agustus 1945 UNTAG Surabaya,4239,6553,7212
,234,7969,Institut Agama Islam Negeri IAIN Surakarta,10535,3300,7212
,235,7969,Institut Agama Islam Negeri IAIN Metro Lampung,10467,3339,7212
,236,7979,Universitas Bunda Mulia Jakarta,4249,6553,7212
,237,8034,Universitas Muhammadiyah Makassar,4313,6553,7212
